District_Code,District_Name,State_Union_Territory,Total_Population,Urban_Population_Share_Pct,Rural_Population_Share_Pct,Median_Income_Band,Estimated_Total_Retail_Universe,Census_Demographic_Notes,District_Ref_ID_normalized,Mean_Panel_Coverage_Pct,Coverage_Status
DST_0240,Jodhpur,Rajasthan,3687002,34,66,Medium-High,4704,,DST_0240,53.63666666666666,UNKNOWN
DST_0241,Kota,Rajasthan,1951014,60,40,High,3199,,DST_0241,68.01291666666667,RELIABLE
DST_0242,Bikaner,Rajasthan,2363937,34,66,Medium,3016,,DST_0242,52.82833333333334,UNKNOWN
DST_0243,Ajmer,Rajasthan,2583052,40,60,Medium-High,3512,,DST_0243,70.20833333333333,RELIABLE
DST_0244,Udaipur,Rajasthan,3068420,20,80,Medium-High,3313,,DST_0244,73.79916666666666,RELIABLE
DST_0245,Bhilwara,Rajasthan,2408523,21,79,Medium,2634,,DST_0245,41.930416666666666,UNKNOWN
DST_0246,Alwar,Rajasthan,3674179,18,82,Medium-High,3865,,DST_0246,69.42958333333333,RELIABLE
DST_0247,Sikar,Rajasthan,2677333,24,76,Medium,3041,,DST_0247,10.704166666666666,UNKNOWN
DST_0248,Bharatpur,Rajasthan,2548462,19,81,Low-Medium,2716,,DST_0248,47.245000000000005,UNKNOWN
DST_0249,Pali,Rajasthan,2038533,23,77,Medium,2287,,DST_0249,54.76541666666666,UNKNOWN
DST_0250,Sri Ganganagar,Rajasthan,1969168,27,73,Medium-High,2319,,DST_0250,43.50958333333333,UNKNOWN
DST_0251,Jhunjhunu,Rajasthan,2137045,23,77,Medium,2397,,DST_0251,44.010416666666664,UNKNOWN
DST_0252,Hanumangarh,Rajasthan,1774692,20,80,Medium,1916,,DST_0252,57.90708333333333,UNKNOWN
DST_0253,Chittorgarh,Rajasthan,1544338,18,82,Medium,1624,,DST_0253,36.83208333333334,UNKNOWN
DST_0254,Tonk,Rajasthan,1421411,22,78,Low-Medium,1574,,DST_0254,48.637499999999996,UNKNOWN
DST_0255,Nagaur,Rajasthan,3307743,19,81,Low-Medium,3526,,DST_0255,64.8,RELIABLE
DST_0256,Churu,Rajasthan,2039547,28,72,Low-Medium,2431,,DST_0256,65.40708333333333,RELIABLE
DST_0257,Bundi,Rajasthan,1110906,20,80,Low-Medium,1199,,DST_0257,38.069583333333334,UNKNOWN
DST_0258,Baran,Rajasthan,1222755,21,79,Low-Medium,1337,,DST_0258,42.01416666666667,UNKNOWN
DST_0259,Dausa,Rajasthan,1631061,12,88,Low-Medium,1578,,DST_0259,43.568333333333335,UNKNOWN
DST_0260,Rajsamand,Rajasthan,1156597,16,84,Medium,1184,,DST_0260,27.107916666666668,UNKNOWN
DST_0261,Dungarpur,Rajasthan,1388552,6,94,Low,1227,,DST_0261,26.912499999999998,UNKNOWN
DST_0262,Banswara,Rajasthan,1797485,7,93,Low,1614,,DST_0262,61.31,RELIABLE
DST_0263,Jalore,Rajasthan,1828730,8,92,Low,1667,,DST_0263,46.14458333333334,UNKNOWN
DST_0264,Sirohi,Rajasthan,1036346,20,80,Low-Medium,1119,,DST_0264,40.33541666666667,UNKNOWN
DST_0265,Sawai Madhopur,Rajasthan,1335551,20,80,Low-Medium,1442,,DST_0265,60.05791666666667,RELIABLE
DST_0266,Karauli,Rajasthan,1458248,15,85,Low,1472,,DST_0266,23.878333333333334,UNKNOWN
DST_0267,Dholpur,Rajasthan,1206516,21,79,Low-Medium,1319,,DST_0267,53.0825,UNKNOWN
DST_0268,Jaisalmer,Rajasthan,669919,13,87,Medium,657,,DST_0268,28.325416666666666,UNKNOWN
DST_0269,Barmer,Rajasthan,2603751,7,93,Low,2338,,DST_0269,56.2775,UNKNOWN
DST_0270,Pratapgarh,Rajasthan,867848,8,92,Low,791,,DST_0270,13.633333333333333,UNKNOWN
DST_0271,Vizag,Andhra Pradesh,2315000,85,15,High,4606,Official census spelling variant,DST_0271,70.21541666666667,RELIABLE
DST_0272,Vijayawada,Andhra Pradesh,2218000,70,30,High,3948,,DST_0272,65.16625,RELIABLE
DST_0273,Guntur,Andhra Pradesh,2091000,65,35,High,3575,,DST_0273,73.24041666666666,RELIABLE
DST_0274,Tirupathi,Andhra Pradesh,2196000,45,55,Medium-High,3140,Official census spelling variant,DST_0274,17.174583333333334,UNKNOWN
DST_0275,Kakinada,Andhra Pradesh,2092000,40,60,Medium-High,2845,,DST_0275,39.76791666666667,UNKNOWN
DST_0276,Kurnool,Andhra Pradesh,2271000,38,62,Medium,3024,,DST_0276,39.096666666666664,UNKNOWN
DST_0277,Nellore,Andhra Pradesh,2469000,35,65,Medium-High,3185,,DST_0277,39.02708333333333,UNKNOWN
DST_0278,Kadapa,Andhra Pradesh,2060000,36,64,Medium,2686,,DST_0278,50.87166666666667,UNKNOWN
DST_0279,Anantapur,Andhra Pradesh,2241000,32,68,Medium,2796,,DST_0279,44.302083333333336,UNKNOWN
DST_0280,Eluru,Andhra Pradesh,2071000,28,72,Medium,2468,,DST_0280,52.779583333333335,UNKNOWN
DST_0281,Rajahmundry,Andhra Pradesh,1832000,38,62,Medium-High,2440,,DST_0281,55.56041666666667,UNKNOWN
DST_0282,Prakasam,Andhra Pradesh,2288000,22,78,Low-Medium,2535,,DST_0282,41.53916666666667,UNKNOWN
DST_0283,Srikakulam,Andhra Pradesh,2191000,18,82,Low-Medium,2304,,DST_0283,53.65625,UNKNOWN
DST_0284,Vizianagaram,Andhra Pradesh,1930000,23,77,Low-Medium,2165,,DST_0284,43.10166666666667,UNKNOWN
DST_0285,Chittoor,Andhra Pradesh,1872000,25,75,Medium,2152,,DST_0285,49.63791666666666,UNKNOWN
DST_0286,Nandyal,Andhra Pradesh,1781000,24,76,Low-Medium,2023,,DST_0286,62.13041666666666,RELIABLE
DST_0287,Krishna,Andhra Pradesh,1735000,26,74,Medium,2019,,DST_0287,60.03791666666667,RELIABLE
DST_0288,Palnadu,Andhra Pradesh,2041000,25,75,Low-Medium,2347,,DST_0288,38.168749999999996,UNKNOWN
DST_0289,Bapatla,Andhra Pradesh,1586000,21,79,Low-Medium,1735,,DST_0289,47.32,UNKNOWN
DST_0290,West Godavari,Andhra Pradesh,1779000,26,74,Medium-High,2070,,DST_0290,42.73166666666666,UNKNOWN
DST_0291,Anakapalli,Andhra Pradesh,1726000,30,70,Medium,2105,,DST_0291,35.62166666666667,UNKNOWN
DST_0292,Sri Sathya Sai,Andhra Pradesh,1840000,22,78,Low-Medium,2038,,DST_0292,57.67583333333334,UNKNOWN
DST_0293,Annamayya,Andhra Pradesh,1697000,20,80,Low-Medium,1832,,DST_0293,54.645,UNKNOWN
DST_0294,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,1719000,15,85,Medium,1736,,DST_0294,42.69083333333333,UNKNOWN
DST_0295,Parvathipuram Manyam,Andhra Pradesh,925000,14,86,Low,921,,DST_0295,24.211250000000003,UNKNOWN
DST_0296,Alluri Sitharama Raju,Andhra Pradesh,953000,8,92,Low,869,,DST_0296,54.27125,UNKNOWN
DST_0297,Indore,Madhya Pradesh,3276697,74,26,High,6016,,DST_0297,68.48875,RELIABLE
DST_0298,Bhopal,Madhya Pradesh,2371061,81,19,High,4585,,DST_0298,36.310833333333335,UNKNOWN
DST_0299,Jabalpur,Madhya Pradesh,2463289,58,42,Medium-High,3970,,DST_0299,60.99208333333333,RELIABLE
DST_0300,Gwalior,Madhya Pradesh,2032036,63,37,Medium-High,3417,,DST_0300,61.73375000000001,RELIABLE
DST_0301,Ujjain,Madhya Pradesh,1986864,39,61,Medium-High,2674,,DST_0301,73.36708333333333,RELIABLE
DST_0302,Sagar,Madhya Pradesh,2378458,30,70,Medium,2901,,DST_0302,51.91375,UNKNOWN
DST_0303,Dewas,Madhya Pradesh,1563715,29,71,Medium,1885,,DST_0303,16.449166666666667,UNKNOWN
DST_0304,Satna,Madhya Pradesh,2228935,21,79,Medium,2438,,DST_0304,52.42291666666667,UNKNOWN
DST_0305,Ratlam,Madhya Pradesh,1455069,30,70,Medium,1775,,DST_0305,39.40083333333333,UNKNOWN
DST_0306,Rewa,Madhya Pradesh,2365106,17,83,Medium,2454,,DST_0306,38.944583333333334,UNKNOWN
DST_0307,Singrauli,Madhya Pradesh,1178272,19,81,Medium,1256,,DST_0307,17.550833333333333,UNKNOWN
DST_0308,Katni,Madhya Pradesh,1292042,21,79,Low-Medium,1413,,DST_0308,62.03958333333333,RELIABLE
DST_0309,Khandwa,Madhya Pradesh,1310061,20,80,Low-Medium,1414,,DST_0309,58.880833333333335,UNKNOWN
DST_0310,Morena,Madhya Pradesh,1965970,24,76,Low-Medium,2233,,DST_0310,60.82749999999999,RELIABLE
DST_0311,Bhind,Madhya Pradesh,1703005,25,75,Low-Medium,1958,,DST_0311,61.97208333333333,RELIABLE
DST_0312,Chhindwara,Madhya Pradesh,2090922,24,76,Medium,2375,,DST_0312,41.34875,UNKNOWN
DST_0313,Guna,Madhya Pradesh,1241519,25,75,Low-Medium,1427,,DST_0313,41.915416666666665,UNKNOWN
DST_0314,Shivpuri,Madhya Pradesh,1726050,17,83,Low-Medium,1791,,DST_0314,38.027499999999996,UNKNOWN
DST_0315,Vidisha,Madhya Pradesh,1458875,23,77,Low-Medium,1636,,DST_0315,58.61083333333334,UNKNOWN
DST_0316,Damoh,Madhya Pradesh,1264219,20,80,Low-Medium,1365,,DST_0316,61.67625,RELIABLE
DST_0317,Mandsaur,Madhya Pradesh,1340411,21,79,Medium,1466,,DST_0317,47.23833333333334,UNKNOWN
DST_0318,Khargone,Madhya Pradesh,1874309,16,84,Low-Medium,1919,,DST_0318,53.865,UNKNOWN
DST_0319,Neemuch,Madhya Pradesh,826067,30,70,Medium,1007,,DST_0319,40.04333333333333,UNKNOWN
DST_0320,Narmadapuram,Madhya Pradesh,1241350,31,69,Medium,1531,,DST_0320,62.67333333333334,RELIABLE
DST_0321,Panna,Madhya Pradesh,1016520,13,87,Low,998,,DST_0321,60.98,RELIABLE
DST_0322,Sehore,Madhya Pradesh,1311332,19,81,Low-Medium,1397,,DST_0322,27.832916666666666,UNKNOWN
DST_0323,Betul,Madhya Pradesh,1575362,20,80,Low-Medium,1701,,DST_0323,59.54208333333333,UNKNOWN
DST_0324,Seoni,Madhya Pradesh,1379131,12,88,Low-Medium,1334,,DST_0324,26.102500000000003,UNKNOWN
DST_0325,Datia,Madhya Pradesh,786725,23,77,Low-Medium,882,,DST_0325,35.24125,UNKNOWN
DST_0326,Dhar,Madhya Pradesh,2185793,19,81,Low-Medium,2330,,DST_0326,56.75958333333333,UNKNOWN
DST_0327,Thiruvananthapuram,Kerala,3301427,54,46,High,5137,,DST_0327,45.030833333333334,UNKNOWN
DST_0328,Ernakulam,Kerala,3282388,68,32,High,5750,,DST_0328,16.712083333333332,UNKNOWN
DST_0329,Kozhikode,Kerala,3086293,67,33,High,5363,,DST_0329,71.46458333333334,RELIABLE
DST_0330,Thrissur,Kerala,3121200,67,33,High,5424,,DST_0330,76.81916666666667,RELIABLE
DST_0331,Kollam,Kerala,2635375,45,55,Medium-High,3768,,DST_0331,58.925000000000004,UNKNOWN
DST_0332,Kannur,Kerala,2523003,65,35,Medium-High,4314,,DST_0332,42.624583333333334,UNKNOWN
DST_0333,Palakkad,Kerala,2809934,24,76,Medium,3192,,DST_0333,58.93375,UNKNOWN
DST_0334,Alappuzha,Kerala,2127789,54,46,Medium-High,3310,,DST_0334,37.663333333333334,UNKNOWN
DST_0335,Kottayam,Kerala,1974551,29,71,High,2381,,DST_0335,60.73833333333334,RELIABLE
DST_0336,Malappuram,Kerala,4112920,44,56,Medium,5823,,DST_0336,60.68333333333334,RELIABLE
DST_0337,Kasaragod,Kerala,1307375,39,61,Medium,1759,,DST_0337,41.124583333333334,UNKNOWN
DST_0338,Pathanamthitta,Kerala,1197412,11,89,Medium-High,1142,,DST_0338,25.370416666666667,UNKNOWN
DST_0339,Idukki,Kerala,1108974,5,95,Low-Medium,964,,DST_0339,19.36916666666667,UNKNOWN
DST_0340,Wayanad,Kerala,817420,4,96,Low-Medium,699,,DST_0340,47.70458333333334,UNKNOWN
