audit_date,month_id,district_id,district_name,state,competitor_brand,numeric_distribution_pct,weighted_distribution_pct,stocking_outlet_count,exclusive_branded_chillers_deployed,promotional_intensity_score_1_to_10,active_retail_scheme
04-11-2024,2024-11,DST_0139,Sitapur,Uttar Pradesh,Voltix,52.72,43.43,2288,361,3.52,None
02-07-2026,2026-07,DST_0320,Narmadapuram,Madhya Pradesh,PulseDrop,25.02,36.21,383,72,5.2,None
2025-08-21T00:00:00+05:30,2025-08,DST_0227,Nagarkurnool,Telangana,Apex Energy,43.58,44.79,365,21,3.91,None
2026/07/10,2026-07,DST_0004,Thane,Maharashtra,BullForce,47.2,39.27,7153,974,3.53,None
2025/04/04,2025-04,0042,Udupi,Karnataka,Torque,33.94,53.14,476,62,4.69,None
2026/05/08,2026-05,DST_0263,Jalore,Rajasthan,Torque,52.12,63.58,868,50,2.61,None
2025-11-12T00:00:00+05:30,2025-11,DST_0172,Mahisagar,Gujarat,Voltix,44.38,48.75,414,66,4.94,
2026-01-06T00:00:00+05:30,2026-01,DST_0202,Dakshin Dinajpur,West Bengal,Voltix,49.66,64.32,828,154,3.42,None
14-10-2025,2025-10,DST_0177,Tapi,Gujarat,Voltix,28.67,43.99,217,25,3.53,None
12-09-2025,2025-09,DST_0217,Mahabubnagar,Telangana,BullForce,14.14,17.39,229,4,2.92,None
03-03-2026,2026-03,DST_0273,Guntur,Andhra Pradesh,PulseDrop,30.21,33.79,1079,58,2.74,None
2025/06/02,2025-06,DST_0157,Junagadh,Gujarat,PulseDrop,51.72,44.21,1789,163,5.46,Seasonal_Discount
2025/04/07,2025-04,DST_0276,Kurnool,Andhra Pradesh,Apex Energy,48.2,44.06,1457,174,3.87,Seasonal_Discount
04-18-25,2025-04,DST_0142,Barabanki,Uttar Pradesh,BullForce,38.1,57.1,1167,150,4.78,Seasonal_Discount
19-01-2026,2026-01,DST_0108,South West Delhi,Delhi NCR,BullForce,38.03,33.02,1844,230,5.08,None
2024/09/10,2024-09,DST_0285,Chittoor,Andhra Pradesh,Torque,46.34,45.66,997,147,3.56,None
12-10-2024,2024-10,DST_0284,Vizianagaram,Andhra Pradesh,Voltix,31.41,44.61,680,111,4.2,None
18-10-2025,2025-10,DST_0219,Siddipet,Telangana,Apex Energy,38.65,35.27,389,23,4.1,Seasonal_Discount
11-13-25,2025-11,DST_0078,Cuddalore,Tamil Nadu,BullForce,53.42,35.42,1776,144,3.59,Seasonal_Discount
16-02-2025,2025-02,DST_0277,Nellore,Andhra Pradesh,BullForce,49.37,58.62,1572,166,5.28,None
07-03-2026,2026-03,DST_0151,Ahmedabad,Gujarat,PulseDrop,70.23,85.02,10011,4984,7.67,Discount_15pct
2025/02/10,2025-02,0180,Amreli,Gujarat,Apex Energy,49.45,35.43,871,47,3.31,Seasonal_Discount
2024/12/16,2024-12,DST_0077,Chengalpet,Tamil Nadu,Voltix,36.31,41.18,1625,161,4.38,Seasonal_Discount
2025/10/08,2025-10,DST_0148,Lakhimpur Kheri,Uttar Pradesh,BullForce,28.6,44.54,1097,127,3.45,None
05-10-26,2026-05,DST_0100,Central Delhi,Delhi NCR,Torque,77.35,77.18,990,329,6.27,None
03-14-25,2025-03,DST_0143,Basti,Uttar Pradesh,Voltix,25.26,37.52,550,42,2.93,None
2026/04/12,2026-04,DST_0185,North 24 Parganas,West Bengal,Apex Energy,53.02,58.08,8480,1033,3.34,Seasonal_Discount
14-04-2026,2026-04,DST_0284,Vizianagaram,Andhra Pradesh,Torque,27.15,54.86,587,31,2.86,None
08-04-2026,2026-04,DST_0281,Rajahmundry,Andhra Pradesh,PulseDrop,26.3,48.77,641,123,4.28,Seasonal_Discount
13-08-2025,2025-08,DST_0256,Churu,Rajasthan,Voltix,38.79,34.5,943,174,4.23,None
04-21-26,2026-04,0094,Tiruvallur,Tamil Nadu,Torque,54.0,48.87,3442,631,3.4,None
2026/06/03,2026-06,DST_0187,HOWRAH,West Bengal,PulseDrop,30.23,59.07,2466,274,5.17,None
04-14-25,2025-04,DST_0203,Birbhum,West Bengal,Torque,20.26,27.95,696,3,2.93,None
2026/01/21,2026-01,0254,Tonk,Rajasthan,Torque,32.55,33.88,512,90,5.0,
1776152520000,2026-04,DST_0046,Kalaburagi,Karnataka,Apex Energy,45.65,41.69,1478,83,3.78,None
10-10-24,2024-10,0143,Basti,Uttar Pradesh,Torque,28.36,49.32,617,60,2.97,Seasonal_Discount
2026/06/21,2026-06,0071,Tiruppur,Tamil Nadu,Voltix,27.29,56.61,1118,219,4.83,Seasonal_Discount
2026/01/02,2026-01,DST_0055,Kodagu,Karnataka,BullForce,25.04,50.33,140,18,2.8,Seasonal_Discount
04-06-2025,2025-06,DST_0065,Chennai,Tamil Nadu,Torque,73.35,77.14,11437,4848,7.24,Discount_15pct
2026-01-13T00:00:00+05:30,2026-01,DST_0237,Kumuram Bheem Asifabad,Telangana,Apex Energy,37.53,48.93,200,30,3.47,Seasonal_Discount
20-03-2025,2025-03,DST_0013,Sangli,Maharashtra,Apex Energy,39.85,61.85,1293,71,4.42,None
06-07-2026,2026-07,DST_0298,Bhopal,Madhya Pradesh,Voltix,47.22,51.31,2165,131,4.48,Seasonal_Discount
10-08-2025,2025-08,DST_0233,Jangaon,Telangana,PulseDrop,41.16,44.75,228,17,5.16,None
04-06-2025,2025-06,0146,Sultanpur,Uttar Pradesh,Voltix,45.53,40.52,1503,100,3.56,None
21-04-2025,2025-04,0025,Jalna,Maharashtra,Torque,37.08,45.97,774,128,2.89,None
1778395560000,2026-05,DST_0330,Thrissur,Kerala,Voltix,91.97,91.8,4988,2205,8.95,Active_BOGO_Scheme
2026-08-17T00:00:00+05:30,2026-08,DST_0114,Prayagraj,Uttar Pradesh,Apex Energy,48.56,43.16,3325,281,2.77,None
2025-12-13T00:00:00+05:30,2025-12,DST_0252,Hanumangarh,Rajasthan,Apex Energy,29.18,56.74,559,33,3.48,None
2024/11/09,2024-11,DST_0316,Damoh,Madhya Pradesh,Torque,32.09,64.0,438,44,3.66,None
09-12-24,2024-09,0097,Villupuram,Tamil Nadu,PulseDrop,38.68,41.98,817,92,2.93,Seasonal_Discount
05-19-25,2025-05,DST_0058,Raichur,Karnataka,Torque,54.05,37.58,1198,112,3.73,None
2026-07-17T00:00:00+05:30,2026-07,DST_0142,Barabanki,Uttar Pradesh,PulseDrop,36.78,51.83,1127,208,2.53,Seasonal_Discount
2026/04/16,2026-04,DST_0294,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,PulseDrop,36.77,40.1,638,74,3.48,None
2025/12/03,2025-12,DST_0103,North Delhi,Delhi NCR,Voltix,44.6,50.34,871,136,3.61,Seasonal_Discount
2025-02-06T00:00:00+05:30,2025-02,0008,Chhatrapati Sambhajinagar,Maharashtra,BullForce,42.27,54.51,2215,251,4.59,None
2026/01/05,2026-01,DST_0259,Dausa,Rajasthan,PulseDrop,48.45,49.91,764,95,2.67,Seasonal_Discount
2026/07/13,2026-07,DST_0302,Sagar,Madhya Pradesh,Apex Energy,53.84,40.5,1561,161,3.5,Seasonal_Discount
2024/09/12,2024-09,DST_0107,South East Delhi,Delhi NCR,Voltix,53.99,59.96,2553,285,3.14,None
2025-08-06T00:00:00+05:30,2025-08,DST_0112,Kanpur Nagar,Uttar Pradesh,PulseDrop,30.95,63.32,2444,399,4.59,Seasonal_Discount
08-05-2025,2025-05,DST_0165,Mehsana,Gujarat,PulseDrop,38.59,63.54,903,76,3.35,Seasonal_Discount
2024/10/09,2024-10,DST_0335,Kottayam,Kerala,Voltix,50.41,34.59,1200,192,4.6,None
2026-08-04T00:00:00+05:30,2026-08,0041,Dakshina Kannada,Karnataka,PulseDrop,46.53,61.15,1430,220,4.63,None
2026/02/11,2026-02,0044,Tumakuru,Karnataka,Voltix,38.23,59.3,1134,98,4.65,Seasonal_Discount
2024/10/12,2024-10,DST_0065,Chennai,Tamil Nadu,Apex Energy,72.26,89.35,11267,3654,7.19,Discount_15pct
12-06-2025,2025-06,DST_0066,Coimbatore,Tamil Nadu,PulseDrop,50.72,51.74,3268,296,4.51,Seasonal_Discount
2025-03-21T00:00:00+05:30,2025-03,DST_0043,Shivamogga,Karnataka,Apex Energy,38.08,41.14,870,131,4.77,None
08-12-2025,2025-12,DST_0202,Dakshin Dinajpur,West Bengal,Torque,28.35,62.91,473,24,4.26,Seasonal_Discount
09-05-2025,2025-05,DST_0030,Hingoli,Maharashtra,Torque,45.7,31.29,543,86,5.06,Seasonal_Discount
09-04-2026,2026-04,DST_0175,Chhota Udaipur,Gujarat,BullForce,25.22,43.32,242,29,3.67,None
10-09-2024,2024-09,0204,Bankura,West Bengal,Voltix,51.09,61.58,1675,92,3.28,None
12-01-2025,2025-01,DST_0010,Solapur,Maharashtra,BullForce,46.53,38.22,2507,282,2.72,None
06-07-26,2026-06,DST_0210,Sangareddy,Telangana,BullForce,42.07,41.36,828,76,3.56,None
2025-12-14T00:00:00Z,2025-12,DST_0041,Dakshina Kannada,Karnataka,PulseDrop,35.51,56.4,1091,180,4.35,Seasonal_Discount
20-06-2026,2026-06,DST_0316,Damoh,Madhya Pradesh,Torque,51.33,40.09,700,127,4.58,None
12-06-2026,2026-06,DST_0330,Thrissur,Kerala,Torque,50.26,61.84,2726,313,5.31,None
2025/11/04,2025-11,DST_0116,Meerut,Uttar Pradesh,Voltix,79.45,97.2,4141,2757,9.17,Active_BOGO_Scheme
1780407960000,2026-06,DST_0267,Dholpur,Rajasthan,Torque,37.13,38.56,489,43,3.49,
13-04-2025,2025-04,DST_0319,Neemuch,Madhya Pradesh,PulseDrop,33.91,39.33,341,20,3.61,
09-20-25,2025-09,DST_0021,Yavatmal,Maharashtra,Voltix,35.6,47.68,1093,145,5.04,None
2025/08/19,2025-08,DST_0240,Jodhpur,Rajasthan,PulseDrop,28.68,63.06,1349,77,5.03,None
09-07-2025,2025-07,DST_0026,Wardha,Maharashtra,BullForce,32.8,49.8,538,43,3.02,Seasonal_Discount
20-11-2025,2025-11,DST_0049,Mandya,Karnataka,Voltix,31.14,46.67,583,102,2.64,None
2026/01/17,2026-01,DST_0296,Alluri Sitharama Raju,Andhra Pradesh,BullForce,20.3,15.94,176,0,3.1,None
2025/07/12,2025-07,DST_0034,Dharashiv (Osmanabad),Maharashtra,PulseDrop,38.28,62.95,658,81,3.62,None
20-10-2025,2025-10,DST_0285,Chittoor,Andhra Pradesh,Torque,33.18,41.12,714,48,4.39,None
06-17-25,2025-06,DST_0324,Seoni,Madhya Pradesh,PulseDrop,37.51,57.83,500,39,5.15,Seasonal_Discount
2025/09/18,2025-09,0090,Tenkasi,Tamil Nadu,Voltix,34.76,36.17,685,112,5.08,Seasonal_Discount
07-05-25,2025-07,0088,Ranipet,Tamil Nadu,PulseDrop,47.76,44.63,801,104,4.45,None
1749791700000,2025-06,DST_0072,Erode,Tamil Nadu,BullForce,36.13,51.72,1231,202,5.2,None
07-18-25,2025-07,DST_0145,Gonda,Uttar Pradesh,BullForce,27.18,50.4,837,57,3.9,None
2024-11-04T00:00:00+05:30,2024-11,DST_0115,Agra,Uttar Pradesh,Apex Energy,43.18,43.91,2754,431,5.43,None
2025-12-08T00:00:00+05:30,2025-12,DST_0193,Nadia,West Bengal,Voltix,27.29,32.89,1680,157,4.92,Seasonal_Discount
1764679260000,2025-12,0124,Jhansi,Uttar Pradesh,BullForce,36.88,40.7,1022,197,2.7,Seasonal_Discount
21-04-2025,2025-04,DST_0005,Palghar,Maharashtra,Torque,36.64,35.74,1612,300,2.99,
2025-04-02T00:00:00Z,2025-04,DST_0304,Satna,Madhya Pradesh,PulseDrop,48.83,44.51,1190,190,4.34,None
2026-08-19T00:00:00+05:30,2026-08,DST_0117,Ghaziabad,Uttar Pradesh,PulseDrop,27.64,56.3,2248,161,3.38,None
2025/04/20,2025-04,0285,Chittoor,Andhra Pradesh,Apex Energy,41.5,44.18,892,73,3.37,None
1759472700000,2025-10,0188,Hooghly,West Bengal,BullForce,36.19,34.37,2688,160,4.49,Seasonal_Discount
12-04-2025,2025-04,DST_0159,Anand,Gujarat,PulseDrop,53.3,57.15,1360,72,3.08,None
2026/05/04,2026-05,DST_0238,Narayanpet,Telangana,Apex Energy,42.18,30.6,231,27,2.69,None
10-07-2026,2026-07,DST_0277,Sri Potti Sriramulu Nellore,Andhra Pradesh,BullForce,40.72,64.95,1296,115,3.58,Seasonal_Discount
16-03-2026,2026-03,0297,Indore,Madhya Pradesh,BullForce,45.65,37.73,2746,218,4.69,Seasonal_Discount
01-09-26,2026-01,DST_0033,Beed,Maharashtra,BullForce,38.63,53.95,1078,194,4.56,
2025-09-14T00:00:00+05:30,2025-09,DST_0288,Palnadu,Andhra Pradesh,Apex Energy,45.27,56.55,1062,155,5.29,None
08-04-2025,2025-04,DST_0228,Wanaparthy,Telangana,Voltix,51.27,40.74,302,51,3.18,None
12-02-2026,2026-02,DST_0151,Ahmedabad,Gujarat,Voltix,77.33,89.44,11022,5221,6.92,None
07-01-2026,2026-01,0174,Dahod,Gujarat,Apex Energy,24.52,15.33,482,5,1.21,None
18-04-2025,2025-04,DST_0333,Palakkad,Kerala,Voltix,54.22,37.43,1730,288,2.59,None
19-05-2025,2025-05,0237,Kumuram Bheem Asifabad,Telangana,Apex Energy,26.0,48.76,139,22,3.46,Seasonal_Discount
2026/04/05,2026-04,0118,Gautam Buddha Nagar,Uttar Pradesh,BullForce,36.62,51.52,981,129,5.38,Seasonal_Discount
2024-10-10T00:00:00+05:30,2024-10,0078,Cuddalore,Tamil Nadu,Voltix,47.3,63.38,1572,130,2.51,None
2025/09/08,2025-09,DST_0284,Vizianagaram,Andhra Pradesh,Torque,45.54,42.02,985,127,3.39,Seasonal_Discount
19-11-2025,2025-11,DST_0188,Hooghly,West Bengal,Apex Energy,81.62,95.23,6062,3926,9.69,Active_BOGO_Scheme
2025/04/03,2025-04,DST_0109,West Delhi,Delhi NCR,BullForce,49.83,34.95,2788,501,5.34,Seasonal_Discount
1728196980000,2024-10,DST_0066,Coimbatore,Tamil Nadu,Torque,32.69,48.03,2106,379,4.74,None
11-12-25,2025-11,DST_0055,Kodagu,Karnataka,PulseDrop,41.93,34.96,234,22,3.53,None
07-07-2025,2025-07,DST_0004,Thane,Maharashtra,Voltix,36.73,63.56,5566,671,3.93,None
2026/07/19,2026-07,0294,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Torque,51.11,64.38,887,71,2.74,None
2025-05-17T00:00:00+05:30,2025-05,DST_0011,Ahmednagar,Maharashtra,Torque,44.27,35.27,2172,157,3.23,Seasonal_Discount
10-11-2024,2024-11,0148,Lakhimpur Kheri,Uttar Pradesh,Voltix,41.65,62.4,1597,185,4.67,
06-07-2025,2025-07,DST_0037,Bengaluru Rural,Karnataka,Apex Energy,49.25,35.14,574,91,3.29,None
05-01-2025,2025-01,DST_0337,Kasaragod,Kerala,PulseDrop,49.51,64.17,870,138,5.28,Seasonal_Discount
2025-12-15T00:00:00+05:30,2025-12,DST_0239,Jaipur,Rajasthan,Torque,52.68,59.39,5333,833,4.77,Seasonal_Discount
09-03-2026,2026-03,DST_0143,Basti,Uttar Pradesh,Voltix,31.28,40.33,681,120,3.55,Seasonal_Discount
2025/10/04,2025-10,0229,Jogulamba Gadwal,Telangana,PulseDrop,51.73,44.92,296,18,5.08,None
2025/02/15,2025-02,DST_0317,Mandsaur,Madhya Pradesh,Torque,27.35,50.93,400,41,3.4,None
2024/09/16,2024-09,DST_0281,East Godavari,Andhra Pradesh,Apex Energy,31.54,40.99,769,113,2.84,None
04-05-2026,2026-05,DST_0338,Pathanamthitta,Kerala,Voltix,34.72,64.47,396,50,3.96,None
2026/06/19,2026-06,DST_0223,Nirmal,Telangana,Voltix,54.04,33.78,419,50,4.38,None
2025/08/17,2025-08,DST_0028,Gondia,Maharashtra,BullForce,30.92,61.32,424,27,4.31,None
12-01-2026,2026-01,DST_0090,Tenkasi,Tamil Nadu,Voltix,50.72,61.34,1000,158,3.55,None
12-12-2024,2024-12,0163,Valsad,Gujarat,Torque,53.61,63.3,1205,92,5.04,
2026/01/18,2026-01,DST_0005,Palghar,Maharashtra,PulseDrop,26.8,51.96,1179,193,5.08,None
05-11-2025,2025-11,DST_0072,Erode,Tamil Nadu,PulseDrop,41.47,35.71,1413,215,5.07,None
14-10-2025,2025-10,DST_0171,Kheda,Gujarat,Apex Energy,26.36,56.14,680,51,3.49,None
12-07-2026,2026-07,0135,Amroha,Uttar Pradesh,Torque,46.01,58.12,973,49,2.65,None
2024-11-08T00:00:00Z,2024-11,0075,Dindigul,Tamil Nadu,Voltix,32.4,47.1,922,91,4.74,None
2025/08/19,2025-08,DST_0317,Mandsaur,Madhya Pradesh,BullForce,50.44,63.59,739,147,4.57,Seasonal_Discount
2025-11-14T00:00:00Z,2025-11,0227,Nagarkurnool,Telangana,BullForce,51.53,53.76,432,38,3.13,Seasonal_Discount
02-11-2025,2025-11,0014,Jalgaon,Maharashtra,PulseDrop,30.26,31.47,1596,306,4.39,Seasonal_Discount
07-04-2026,2026-04,DST_0308,Katni,Madhya Pradesh,Torque,42.02,49.68,593,117,3.37,None
03-12-2024,2024-12,DST_0274,Tirupati,Andhra Pradesh,PulseDrop,43.85,60.58,1376,150,2.91,Seasonal_Discount
2025/12/09,2025-12,DST_0321,Panna,Madhya Pradesh,Voltix,24.32,29.76,242,2,1.76,None
09-07-2026,2026-07,DST_0057,Koppal,Karnataka,BullForce,39.67,44.03,572,87,5.08,Seasonal_Discount
06-04-2026,2026-04,DST_0207,Hyderabad,Telangana,Torque,73.66,76.31,6389,2522,7.72,Bundle_Pack
1736490420000,2025-01,0146,Sultanpur,Uttar Pradesh,Voltix,28.45,62.61,939,134,3.73,Seasonal_Discount
1736253240000,2025-01,DST_0165,Mehsana,Gujarat,BullForce,50.35,52.49,1178,210,5.12,None
05-11-2025,2025-11,DST_0278,Y.S.R.,Andhra Pradesh,Apex Energy,32.29,38.86,867,137,4.55,None
01-14-25,2025-01,DST_0314,Shivpuri,Madhya Pradesh,Torque,29.9,32.68,535,48,4.37,None
03-05-2026,2026-05,0125,Mathura,Uttar Pradesh,Voltix,35.9,47.59,1115,73,5.16,Seasonal_Discount
06-10-2025,2025-10,DST_0003,Pune,Maharashtra,Torque,83.29,86.98,12990,5770,6.05,None
18-06-2026,2026-06,DST_0264,Sirohi,Rajasthan,Apex Energy,38.85,59.11,434,37,4.48,
10-06-2025,2025-06,DST_0217,Mahabubnagar,Telangana,PulseDrop,19.77,22.35,321,2,3.01,None
09-12-2025,2025-12,DST_0025,Jalna,Maharashtra,Apex Energy,48.57,58.63,1014,136,2.79,Seasonal_Discount
07-07-25,2025-07,DST_0206,Jhargram,West Bengal,BullForce,47.34,40.61,498,45,4.01,None
12-07-2025,2025-07,DST_0137,Fatehpur,Uttar Pradesh,BullForce,51.1,54.31,1301,121,4.99,None
2026/06/12,2026-06,DST_0293,Annamayya,Andhra Pradesh,BullForce,45.98,41.25,842,166,5.39,None
01-14-25,2025-01,DST_0213,Karimnagar,Telangana,Torque,31.53,43.59,391,67,3.36,None
2025/12/20,2025-12,DST_0077,Chengalpattu,Tamil Nadu,PulseDrop,27.68,53.06,1239,72,5.06,Seasonal_Discount
2025/10/10,2025-10,DST_0055,Kodagu,Karnataka,BullForce,32.35,43.75,181,10,4.98,Seasonal_Discount
07-18-25,2025-07,DST_0338,Pathanamthitta,Kerala,Torque,31.79,35.2,363,35,3.49,
2026/04/03,2026-04,DST_0327,Trivandrum,Kerala,BullForce,40.48,42.65,2079,277,4.91,None
2025/08/19,2025-08,DST_0228,Wanaparthy,Telangana,BullForce,48.34,34.41,285,25,4.58,None
2025/04/06,2025-04,DST_0046,Kalaburagi,Karnataka,PulseDrop,39.58,34.26,1281,119,3.01,None
2026-07-07T00:00:00+05:30,2026-07,DST_0109,West Delhi,Delhi NCR,Apex Energy,29.27,54.53,1637,282,3.03,None
2025-03-07T00:00:00Z,2025-03,DST_0138,Raebareli,Uttar Pradesh,BullForce,28.3,43.69,892,138,4.98,None
2026/07/18,2026-07,DST_0158,Gandhinagar,Gujarat,Apex Energy,28.38,64.97,553,61,3.52,
12-03-2025,2025-03,DST_0328,Ernakulam,Kerala,PulseDrop,46.8,31.75,2690,177,2.7,Seasonal_Discount
2025/09/14,2025-09,DST_0234,Mulugu,Telangana,Torque,30.05,52.46,66,8,3.56,None
2026-07-08T00:00:00+05:30,2026-07,0261,Dungarpur,Rajasthan,Apex Energy,32.74,43.23,401,68,2.69,
05-09-25,2025-05,DST_0163,Valsad,Gujarat,Apex Energy,39.68,41.22,891,124,3.44,Seasonal_Discount
1752381240000,2025-07,DST_0089,Sivaganga,Tamil Nadu,PulseDrop,48.15,31.97,795,152,3.2,Seasonal_Discount
2026/05/11,2026-05,DST_0214,Nizamabad,Telangana,Voltix,36.5,33.9,699,121,2.67,None
2026/05/15,2026-05,DST_0289,Bapatla,Andhra Pradesh,BullForce,32.85,44.54,569,82,4.15,None
06-06-2025,2025-06,0270,Pratapgarh,Rajasthan,BullForce,47.48,35.92,375,50,4.19,Seasonal_Discount
04-11-2025,2025-11,DST_0230,Medak,Telangana,Torque,44.25,36.64,309,19,3.44,Seasonal_Discount
2025/02/08,2025-02,DST_0062,Chamarajanagar,Karnataka,PulseDrop,14.85,25.01,157,5,2.02,None
2025/10/19,2025-10,DST_0292,Sri Sathya Sai,Andhra Pradesh,BullForce,36.28,52.42,739,129,4.99,Seasonal_Discount
1732189920000,2024-11,DST_0329,Kozhikode,Kerala,Torque,51.45,64.92,2758,587,5.17,Discount_10pct
16-08-2025,2025-08,DST_0049,Mandya,Karnataka,Torque,39.55,60.82,741,134,3.82,None
2025/10/13,2025-10,DST_0244,Udaipur,Rajasthan,PulseDrop,39.01,60.99,1292,313,4.92,None
2025-02-05T00:00:00Z,2025-02,DST_0164,Porbandar,Gujarat,Apex Energy,42.48,61.94,369,20,3.73,None
08-11-2024,2024-11,0225,Peddapalli,Telangana,Apex Energy,48.53,36.68,513,48,4.95,None
03-09-2024,2024-09,DST_0230,Medak,Telangana,Apex Energy,26.62,40.7,186,32,3.67,Seasonal_Discount
2024/12/16,2024-12,DST_0132,Mirzapur,Uttar Pradesh,Torque,50.15,49.38,1246,105,3.47,None
11-03-2026,2026-03,DST_0337,Kasaragod,Kerala,Torque,44.92,36.0,790,126,4.74,None
1750158960000,2025-06,DST_0236,Mahabubabad,Telangana,Voltix,30.62,53.22,222,41,5.02,None
08-03-26,2026-08,DST_0050,Vijayapura,Karnataka,Apex Energy,32.41,57.28,791,153,2.99,None
1763620380000,2025-11,DST_0127,Muzaffarnagar,Uttar Pradesh,PulseDrop,41.54,64.94,2075,187,3.18,None
2024-12-13T00:00:00Z,2024-12,0234,Mulugu,Telangana,PulseDrop,42.76,60.23,94,13,3.96,Seasonal_Discount
04-03-2025,2025-03,0004,Thane,Maharashtra,PulseDrop,33.4,60.11,5061,525,4.41,Seasonal_Discount
2024/09/16,2024-09,DST_0068,Tiruchirappalli,Tamil Nadu,BullForce,55.1,47.44,2228,315,5.05,None
2025-09-19T00:00:00+05:30,2025-09,0198,Kalimpong,West Bengal,BullForce,42.42,57.83,126,12,4.28,None
2026/03/20,2026-03,DST_0314,Shivpuri,Madhya Pradesh,Voltix,29.03,53.21,520,83,4.42,Seasonal_Discount
2025/05/16,2025-05,DST_0244,Udaipur,Rajasthan,Voltix,45.93,60.47,1521,169,4.24,None
1734003780000,2024-12,0278,YSR Kadapa,Andhra Pradesh,BullForce,29.4,43.87,789,90,5.02,Seasonal_Discount
11-02-2026,2026-02,DST_0107,South East Delhi,Delhi NCR,PulseDrop,47.87,50.89,2264,365,2.55,Seasonal_Discount
1786530480000,2026-08,DST_0310,Morena,Madhya Pradesh,BullForce,40.73,45.71,909,136,4.93,None
17-10-2024,2024-10,0276,Kurnool,Andhra Pradesh,Voltix,52.0,34.32,1572,160,3.96,Seasonal_Discount
06-09-2025,2025-09,DST_0048,Hassan,Karnataka,Apex Energy,39.37,46.44,764,111,4.6,None
15-01-2026,2026-01,DST_0270,Pratapgarh,Rajasthan,Voltix,54.25,64.99,429,75,3.57,Seasonal_Discount
2025/12/15,2025-12,DST_0214,Nizamabad,Telangana,Torque,47.76,37.03,915,138,3.32,None
11-12-2025,2025-12,DST_0174,Dahod,Gujarat,BullForce,21.39,27.93,421,2,1.9,None
2024-11-18T00:00:00+05:30,2024-11,DST_0330,Thrissur,Kerala,Voltix,92.42,87.13,5012,2595,8.45,Active_BOGO_Scheme
10-03-2025,2025-03,DST_0164,Porbandar,Gujarat,Torque,53.18,51.73,462,35,4.1,None
10-01-2026,2026-01,DST_0106,South Delhi,Delhi NCR,Torque,70.56,78.57,4213,1783,7.81,None
2024-09-11T00:00:00+05:30,2024-09,0192,Paschim Bardhaman (Durgapur),West Bengal,Torque,47.13,56.82,2607,266,4.8,Special_Kirana_Margin
2026/04/06,2026-04,0124,Jhansi,Uttar Pradesh,PulseDrop,50.93,48.3,1412,133,3.2,None
12-12-2024,2024-12,DST_0157,Junagadh,Gujarat,Voltix,42.51,59.1,1471,76,4.22,None
2025-08-15T00:00:00+05:30,2025-08,DST_0205,Purulia,West Bengal,BullForce,16.48,20.27,474,4,1.74,None
12-12-2025,2025-12,DST_0203,Birbhum,West Bengal,Torque,17.22,17.56,592,4,2.07,None
06-03-26,2026-06,0077,Chengalpattu,Tamil Nadu,Apex Energy,51.32,44.82,2298,279,4.84,None
08-12-2025,2025-12,DST_0088,Ranipet,Tamil Nadu,Apex Energy,44.72,62.55,750,70,4.93,None
02-20-25,2025-02,0121,Moradabad,Uttar Pradesh,Voltix,53.25,55.84,3206,198,4.11,None
12-03-2026,2026-03,DST_0299,Jabalpur,Madhya Pradesh,PulseDrop,43.69,53.77,1734,221,4.68,None
2026-08-17T00:00:00+05:30,2026-08,DST_0121,Moradabad,Uttar Pradesh,Voltix,39.43,38.66,2374,403,5.22,None
2025/09/20,2025-09,0319,Neemuch,Madhya Pradesh,BullForce,47.31,33.4,476,69,2.78,Seasonal_Discount
2025/01/05,2025-01,DST_0030,Hingoli,Maharashtra,PulseDrop,26.9,38.73,319,45,3.05,Seasonal_Discount
16-02-2025,2025-02,DST_0298,Bhopal,Madhya Pradesh,Voltix,26.49,53.82,1214,83,3.87,None
2026/04/12,2026-04,DST_0299,Jabalpur,Madhya Pradesh,BullForce,25.12,49.08,997,54,5.12,Seasonal_Discount
1763545980000,2025-11,DST_0297,Indore,Madhya Pradesh,Torque,40.14,61.28,2415,218,2.56,Seasonal_Discount
2025/09/14,2025-09,DST_0240,Jodhpur,Rajasthan,Torque,37.68,46.23,1772,109,2.94,Seasonal_Discount
06-21-26,2026-06,DST_0187,HOWRAH,West Bengal,BullForce,51.18,38.31,4174,452,4.29,Seasonal_Discount
10-09-24,2024-10,DST_0030,Hingoli,Maharashtra,BullForce,51.13,52.75,607,103,5.48,None
2026/05/19,2026-05,0072,Erode,Tamil Nadu,PulseDrop,26.1,40.75,889,57,4.61,None
2025-05-10T00:00:00+05:30,2025-05,DST_0077,Chengalpet,Tamil Nadu,Voltix,41.53,48.19,1859,306,4.93,Seasonal_Discount
09-07-24,2024-09,DST_0296,Alluri Sitharama Raju,Andhra Pradesh,Voltix,18.31,22.72,159,5,1.14,None
18-08-2025,2025-08,DST_0187,Howrah,West Bengal,PulseDrop,25.2,64.0,2055,299,4.49,None
2025-07-08T00:00:00Z,2025-07,DST_0326,Dhar,Madhya Pradesh,PulseDrop,30.17,52.54,703,87,4.35,None
12-07-2025,2025-07,DST_0048,Hassan,Karnataka,BullForce,39.93,43.73,775,100,4.52,None
17-10-2024,2024-10,DST_0190,Purba Medinipur,West Bengal,Torque,46.83,58.14,2309,348,3.0,None
